WigleWifi-1.4,appRelease=1.58,model=LT26i,release=4.1.2,device=LT26i,display=6.2.B.0.200,board=MSM8660_SURF,brand=SEMC
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
d8:5d:4c:c4:19:3a,tplink,[WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:47:43,4,-92,-34.57316135,-58.42709397,24.3999996185303,4,WIFI
72234_94_2171766,AR Personal,HSDPA;ar,2014-01-27 22:47:43,0,-81,-34.57316135,-58.42709397,24.3999996185303,4,GSM
d8:5d:4c:c4:19:3a,tplink,[WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:47:59,4,-92,-34.57422905,-58.42552283,35.5,6,WIFI
00:1f:c6:5c:17:2a,FT CRUZ...,[WEP][ESS],2014-01-27 22:47:59,6,-87,-34.57422905,-58.42552283,35.5,6,WIFI
00:18:f8:65:86:68,Flacobaldo,[ESS],2014-01-27 22:47:59,6,-93,-34.57422905,-58.42552283,35.5,6,WIFI
72234_94_2169869,AR Personal,HSDPA;ar,2014-01-27 22:47:59,0,-79,-34.57422905,-58.42552283,35.5,6,GSM
2c:9e:5f:1c:a7:91,SILVIA CHERNOMORETZ,[WPA-PSK-TKIP][ESS],2014-01-27 22:48:14,11,-88,-34.57435461,-58.42530819,38.4000015258789,3,WIFI
22:b7:60:66:9d:02,WiFi-LJ,[WPA-PSK-CCMP][ESS],2014-01-27 22:48:14,1,-91,-34.57435461,-58.42530819,38.4000015258789,3,WIFI
38:22:9d:0d:8d:e9,Wi-Fi Arnet,[WEP][ESS],2014-01-27 22:48:14,1,-88,-34.57435461,-58.42530819,38.4000015258789,3,WIFI
00:23:69:4d:38:ee,mar,[WPA-PSK-TKIP][WPS][ESS],2014-01-27 22:48:46,3,-87,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
7c:4f:b5:7a:81:57,FiberCorp WiFi857,[WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:48:46,11,-87,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
3c:75:4a:f3:75:4a,Fibertel WiFi900,[WPA-PSK-TKIP][ESS],2014-01-27 22:48:46,6,-87,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
90:f6:52:fd:39:90,FijiNet,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:48:46,9,-90,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
00:14:bf:cf:0c:21,portofino,[WPA-PSK-TKIP][ESS],2014-01-27 22:48:46,6,-90,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
d8:30:62:2f:12:f1,Diego's Wi-Fi Network,[WPA2-PSK-CCMP][ESS],2014-01-27 22:48:46,6,-91,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
02:25:e5:04:42:04,HPJ610a.A681AE,[IBSS],2014-01-27 22:48:46,6,-87,-34.5748331,-58.42513818,29.8999996185303,5,WIFI
72234_94_2170369,AR Personal,HSDPA;ar,2014-01-27 22:48:46,0,-81,-34.5748331,-58.42513818,29.8999996185303,5,GSM
b0:48:7a:d4:da:32,DANDY,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:01,11,-78,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
94:cc:b9:1c:8e:45,Fibertel WiFi750,[WPA-PSK-TKIP][ESS],2014-01-27 22:49:01,1,-84,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
b0:77:ac:88:35:34,**poupa**,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:01,11,-86,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
00:23:69:25:4f:c8,T-Home,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:49:01,1,-87,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
9c:d2:4b:79:6b:a0,WiFi-Arnet-k693,[WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:49:01,6,-90,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
7c:bf:b1:55:92:e5,Fibertel WiFi710,[WPA-PSK-TKIP][ESS],2014-01-27 22:49:01,11,-93,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
fc:f5:28:2e:f6:d7,oliva,[WPA2-PSK-CCMP][ESS],2014-01-27 22:49:01,11,-93,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
94:0c:6d:fc:59:c6,FREDY,[WEP][ESS],2014-01-27 22:49:01,1,-79,-34.57537465,-58.42544943,22.3999996185303,3,WIFI
7c:4f:b5:7a:81:57,FiberCorp WiFi857,[WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:17,11,-88,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
00:14:bf:cf:0c:21,portofino,[WPA-PSK-TKIP][ESS],2014-01-27 22:49:17,6,-86,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
b0:48:7a:d4:da:32,DANDY,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:17,11,-78,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
94:cc:b9:1c:8e:45,Fibertel WiFi750,[WPA-PSK-TKIP][ESS],2014-01-27 22:49:17,1,-84,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
b0:77:ac:88:35:34,**poupa**,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:17,11,-86,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
00:23:69:25:4f:c8,T-Home,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:49:17,1,-87,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
9c:d2:4b:79:6b:a0,WiFi-Arnet-k693,[WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:49:17,6,-90,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
7c:bf:b1:55:92:e5,Fibertel WiFi710,[WPA-PSK-TKIP][ESS],2014-01-27 22:49:17,11,-93,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
fc:f5:28:2e:f6:d7,oliva,[WPA2-PSK-CCMP][ESS],2014-01-27 22:49:17,11,-93,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
94:0c:6d:fc:59:c6,FREDY,[WEP][ESS],2014-01-27 22:49:17,1,-79,-34.57690964,-58.42621973,23.7999992370605,18,WIFI
72234_94_2171766,AR Personal,HSDPA;ar,2014-01-27 22:49:17,0,-79,-34.57690964,-58.42621973,23.7999992370605,18,GSM
64:70:02:75:a4:fe,PC2013,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:49:33,1,-86,-34.57720025,-58.42612143,26.1000003814697,19,WIFI
ac:81:12:0e:a7:76,Fibertel WiFi815,[WPA-PSK-TKIP+CCMP][ESS],2014-01-27 22:49:33,1,-93,-34.57720025,-58.42612143,26.1000003814697,19,WIFI
68:7f:74:f6:e5:8b,Zaponetta,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2014-01-27 22:49:33,6,-93,-34.57720025,-58.42612143,26.1000003814697,19,WIFI
72234_94_2170369,AR Personal,HSDPA;ar,2014-01-27 22:49:33,0,-79,-34.57720025,-58.42612143,26.1000003814697,19,GSM
38:22:9d:0c:a4:ac,Wi-Fi Arnet,[WEP][ESS],2014-01-27 22:49:48,1,-92,-34.57722163,-58.42605691,27.7999992370605,15,WIFI
72234_94_2171266,AR Personal,HSDPA;ar,2014-01-27 22:49:48,0,-79,-34.57722163,-58.42605691,27.7999992370605,15,GSM
24:69:a5:6a:de:dc,Speedy-6ADED5,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:50:19,6,-91,-34.57722062,-58.426043,27.7000007629395,11,WIFI
72234_94_2215266,AR Personal,HSDPA;ar,2014-01-27 22:50:51,0,-79,-34.57746173,-58.42602869,48.0999984741211,12,GSM
72234_94_2215369,AR Personal,HSDPA;ar,2014-01-27 22:51:06,0,-79,-34.57761067,-58.42633074,51.7000007629395,4,GSM
a4:0c:c3:0c:51:72,BCyL-P3-V4,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:22,7,-90,-34.57762079,-58.42633174,52.5,4,WIFI
00:25:83:35:a0:50,WI_LSM,[WPA-PSK-TKIP][ESS],2014-01-27 22:51:22,10,-91,-34.57762079,-58.42633174,52.5,4,WIFI
a4:0c:c3:0c:51:71,ALL-Invitados,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:22,7,-94,-34.57762079,-58.42633174,52.5,4,WIFI
90:b1:34:8d:d8:60,Fibertel WiFi436,[WPA-PSK-TKIP][ESS],2014-01-27 22:51:38,1,-91,-34.57769583,-58.42638865,50.2000007629395,4,WIFI
a4:0c:c3:0c:51:73,BCyL-P3-V5,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:38,7,-94,-34.57769583,-58.42638865,50.2000007629395,4,WIFI
a4:0c:c3:0c:51:70,ALL-Logistica,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:38,7,-95,-34.57769583,-58.42638865,50.2000007629395,4,WIFI
00:0c:42:96:f6:db,BAGOWEXWiFi,[ESS],2014-01-27 22:51:38,3,-94,-34.57769583,-58.42638865,50.2000007629395,4,WIFI
a4:0c:c3:0c:51:72,BCyL-P3-V4,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:53,7,-90,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
00:25:83:35:a0:50,WI_LSM,[WPA-PSK-TKIP][ESS],2014-01-27 22:51:53,10,-88,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
a4:0c:c3:0c:51:71,ALL-Invitados,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:53,7,-92,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
90:b1:34:8d:d8:60,Fibertel WiFi436,[WPA-PSK-TKIP][ESS],2014-01-27 22:51:53,1,-91,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
a4:0c:c3:0c:51:73,BCyL-P3-V5,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:53,7,-94,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
a4:0c:c3:0c:51:70,ALL-Logistica,[WPA2-PSK-CCMP][ESS],2014-01-27 22:51:53,7,-95,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
00:0c:42:96:f6:db,BAGOWEXWiFi,[ESS],2014-01-27 22:51:53,3,-94,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
34:4b:50:3f:63:90,soljuliflor,[WPA-PSK-TKIP][ESS],2014-01-27 22:51:53,6,-88,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
90:f6:52:ba:7e:be,GMR,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:51:53,1,-93,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
38:60:77:bb:4e:41,XEBRA WIFI,[WEP][ESS],2014-01-27 22:51:53,8,-87,-34.57892826,-58.42705695,38.2999992370605,4,WIFI
72234_94_2215266,AR Personal,HSDPA;ar,2014-01-27 22:51:53,0,-79,-34.57892826,-58.42705695,38.2999992370605,4,GSM
00:25:9c:bc:46:4d,ppcharcas,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2014-01-27 22:52:09,9,-79,-34.57990503,-58.42788485,35.4000015258789,4,WIFI
f4:ec:38:a3:f9:08,La Ardilla Camping S.R.L.,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:52:25,4,-80,-34.58023997,-58.42826845,34.5,4,WIFI
7c:bf:b1:50:69:c4,Alpelo,[WPA-PSK-TKIP][ESS],2014-01-27 22:52:25,6,-85,-34.58023997,-58.42826845,34.5,4,WIFI
72234_94_2215266,AR Personal,HSDPA;ar,2014-01-27 22:52:25,0,-79,-34.58023997,-58.42826845,34.5,4,GSM
00:25:9c:bc:46:4d,ppcharcas,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2014-01-27 22:52:40,9,-87,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
f4:ec:38:a3:f9:08,La Ardilla Camping S.R.L.,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:52:40,4,-80,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
7c:bf:b1:50:69:c4,Alpelo,[WPA-PSK-TKIP][ESS],2014-01-27 22:52:40,6,-85,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
c2:9f:db:15:35:67,HelportCam,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,11,-82,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
5c:d9:98:30:29:96,wcssociales,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,3,-86,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
5c:d9:98:30:29:99,teladmin,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,3,-88,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
5c:d9:98:30:29:93,wibioba,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,3,-88,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
5c:d9:98:30:29:94,wbionano,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,3,-90,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
5c:d9:98:30:29:95,wcalculo,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:40,3,-91,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
08:d0:9f:b4:f8:d1,De Los Arcos,[WPA2-PSK-CCMP][ESS],2014-01-27 22:52:40,1,-94,-34.58153604,-58.42962808,27.7000007629395,5,WIFI
72234_96_1844599,AR Personal,HSDPA;ar,2014-01-27 22:52:40,0,-79,-34.58153604,-58.42962808,27.7000007629395,5,GSM
5c:d9:98:30:29:90,invitados,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:52:56,3,-91,-34.58171662,-58.42979768,26.6000003814697,4,WIFI
00:0c:42:96:f8:9d,BAGOWEXWiFi,[ESS],2014-01-27 22:52:56,1,-63,-34.58171662,-58.42979768,26.6000003814697,4,WIFI
02:2a:ca:91:21:91,HPCP1525-7daa1e,[IBSS],2014-01-27 22:52:56,6,-86,-34.58171662,-58.42979768,26.6000003814697,4,WIFI
02:2f:3f:3a:a4:39,HPCP1525-7db827,[IBSS],2014-01-27 22:52:56,6,-88,-34.58171662,-58.42979768,26.6000003814697,4,WIFI
c2:9f:db:15:35:67,HelportCam,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:53:12,11,-88,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
08:d0:9f:b4:f8:d1,De Los Arcos,[WPA2-PSK-CCMP][ESS],2014-01-27 22:53:12,1,-93,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
5c:d9:98:30:29:90,invitados,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:53:12,3,-91,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
00:0c:42:96:f8:9d,BAGOWEXWiFi,[ESS],2014-01-27 22:53:12,1,-63,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
02:2a:ca:91:21:91,HPCP1525-7daa1e,[IBSS],2014-01-27 22:53:12,6,-86,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
02:2f:3f:3a:a4:39,HPCP1525-7db827,[IBSS],2014-01-27 22:53:12,6,-88,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
d4:d1:84:ca:9c:be,micasanueva,[WPA-PSK-CCMP][ESS],2014-01-27 22:53:12,6,-88,-34.58291763,-58.43136901,31.2000007629395,5,WIFI
72234_96_1844599,AR Personal,HSDPA;ar,2014-01-27 22:53:12,0,-79,-34.58291763,-58.43136901,31.2000007629395,5,GSM
c2:9f:db:15:35:67,HelportCam,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:53:27,11,-88,-34.58456268,-58.43337989,37.7000007629395,4,WIFI
d4:d1:84:ca:9c:be,micasanueva,[WPA-PSK-CCMP][ESS],2014-01-27 22:53:27,6,-88,-34.58456268,-58.43337989,37.7000007629395,4,WIFI
64:66:b3:ab:63:b8,JBJ1333,[WPA2-PSK-CCMP][ESS],2014-01-27 22:53:27,2,-86,-34.58456268,-58.43337989,37.7000007629395,4,WIFI
58:6d:8f:fd:54:da,Uifi,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:53:27,2,-88,-34.58456268,-58.43337989,37.7000007629395,4,WIFI
00:0a:b8:46:76:30,GuestBlaisten,[ESS],2014-01-27 22:53:27,1,-87,-34.58456268,-58.43337989,37.7000007629395,4,WIFI
72234_96_1844599,AR Personal,HSDPA;ar,2014-01-27 22:53:27,0,-79,-34.58456268,-58.43337989,37.7000007629395,4,GSM
64:66:b3:ab:63:b8,JBJ1333,[WPA2-PSK-CCMP][ESS],2014-01-27 22:53:43,2,-86,-34.58573302,-58.43510716,34.2999992370605,4,WIFI
58:6d:8f:fd:54:da,Uifi,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:53:43,2,-88,-34.58573302,-58.43510716,34.2999992370605,4,WIFI
00:0a:b8:46:76:30,GuestBlaisten,[ESS],2014-01-27 22:53:43,1,-87,-34.58573302,-58.43510716,34.2999992370605,4,WIFI
00:0c:42:96:f8:89,BAGOWEXWiFi,[ESS],2014-01-27 22:53:43,3,-75,-34.58573302,-58.43510716,34.2999992370605,4,WIFI
72234_96_1844099,AR Personal,HSDPA;ar,2014-01-27 22:53:43,0,-79,-34.58573302,-58.43510716,34.2999992370605,4,GSM
00:0c:42:96:f8:89,BAGOWEXWiFi,[ESS],2014-01-27 22:53:59,3,-75,-34.58714833,-58.43697585,35,4,WIFI
98:fc:11:dc:a6:77,SheliumShelium,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2014-01-27 22:53:59,9,-90,-34.58714833,-58.43697585,35,4,WIFI
72234_96_1844099,AR Personal,HSDPA;ar,2014-01-27 22:53:59,0,-79,-34.58714833,-58.43697585,35,4,GSM
98:fc:11:dc:a6:77,SheliumShelium,[WPA-PSK-TKIP][WPA2-PSK-CCMP-preauth][WPS][ESS],2014-01-27 22:54:14,9,-90,-34.58828458,-58.43807748,35.7999992370605,4,WIFI
72234_96_1843385,AR Personal,HSDPA;ar,2014-01-27 22:54:14,0,-79,-34.58828458,-58.43807748,35.7999992370605,4,GSM
fc:f5:28:2f:75:bb,WiFi-Arnet-8563,[WPA2-PSK-CCMP][ESS],2014-01-27 22:54:30,11,-77,-34.5902311,-58.43861781,36.0999984741211,4,WIFI
20:aa:4b:de:5b:58,etiweilinksys,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:54:30,11,-80,-34.5902311,-58.43861781,36.0999984741211,4,WIFI
64:70:02:73:1d:76,selva,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:54:30,1,-91,-34.5902311,-58.43861781,36.0999984741211,4,WIFI
30:39:f2:05:c5:99,SOLEDAD,[WEP][ESS],2014-01-27 22:54:30,1,-86,-34.5902311,-58.43861781,36.0999984741211,4,WIFI
72234_96_1844385,AR Personal,HSDPA;ar,2014-01-27 22:54:30,0,-79,-34.5902311,-58.43861781,36.0999984741211,4,GSM
fc:f5:28:2f:75:bb,WiFi-Arnet-8563,[WPA2-PSK-CCMP][ESS],2014-01-27 22:54:45,11,-77,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
20:aa:4b:de:5b:58,etiweilinksys,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:54:45,11,-80,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
64:70:02:73:1d:76,selva,[WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:54:45,1,-91,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
30:39:f2:05:c5:99,SOLEDAD,[WEP][ESS],2014-01-27 22:54:45,1,-86,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
90:b1:34:45:14:20,Luis 235,[WPA-PSK-TKIP+CCMP][ESS],2014-01-27 22:54:45,11,-87,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
94:0c:6d:b7:8b:92,CASA2,[WEP][ESS],2014-01-27 22:54:45,6,-74,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
c8:64:c7:84:88:5c,wifi ale,[WEP][ESS],2014-01-27 22:54:45,1,-84,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
d4:d1:84:1a:5e:07,Wi-Fi Arnet,[WEP][ESS],2014-01-27 22:54:45,1,-85,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
90:b1:34:44:fb:b4,Motorola,[ESS],2014-01-27 22:54:45,6,-87,-34.59185879,-58.44004467,30.7000007629395,4,WIFI
72234_96_1844385,AR Personal,HSDPA;ar,2014-01-27 22:54:45,0,-79,-34.59185879,-58.44004467,30.7000007629395,4,GSM
90:b1:34:4d:35:fc,Fibertel WiFi748,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:01,6,-78,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
3c:75:4a:f3:8c:31,Fibertel WiFi158,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:01,6,-80,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
cc:7d:37:83:78:12,Fibertel WiFi794,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:01,1,-80,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
48:f8:b3:22:32:96,Cisco21595,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:01,3,-80,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
fc:94:e3:96:e8:a3,casa marina,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:01,1,-87,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
00:24:01:c9:2c:82,JUANCRUZ-PC_Network,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:01,11,-88,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
ec:43:f6:b5:1d:ef,LA CASA DEL FITNESS,[WPA2-PSK-CCMP][ESS],2014-01-27 22:55:01,1,-88,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
d4:ca:6d:10:bf:82,BAGOWEXWiFi,[ESS],2014-01-27 22:55:01,9,-56,-34.59230817,-58.44065738,33.0999984741211,4,WIFI
d4:d1:84:1a:5e:07,Wi-Fi Arnet,[WEP][ESS],2014-01-27 22:55:17,1,-91,-34.59303306,-58.44190149,27.5,4,WIFI
90:b1:34:4d:35:fc,Fibertel WiFi748,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,6,-78,-34.59303306,-58.44190149,27.5,4,WIFI
3c:75:4a:f3:8c:31,Fibertel WiFi158,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,6,-80,-34.59303306,-58.44190149,27.5,4,WIFI
cc:7d:37:83:78:12,Fibertel WiFi794,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,1,-80,-34.59303306,-58.44190149,27.5,4,WIFI
48:f8:b3:22:32:96,Cisco21595,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:17,3,-80,-34.59303306,-58.44190149,27.5,4,WIFI
fc:94:e3:96:e8:a3,casa marina,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,1,-87,-34.59303306,-58.44190149,27.5,4,WIFI
00:24:01:c9:2c:82,JUANCRUZ-PC_Network,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:17,11,-88,-34.59303306,-58.44190149,27.5,4,WIFI
ec:43:f6:b5:1d:ef,LA CASA DEL FITNESS,[WPA2-PSK-CCMP][ESS],2014-01-27 22:55:17,1,-88,-34.59303306,-58.44190149,27.5,4,WIFI
d4:ca:6d:10:bf:82,BAGOWEXWiFi,[ESS],2014-01-27 22:55:17,9,-56,-34.59303306,-58.44190149,27.5,4,WIFI
8c:04:ff:7c:42:e8,Telecentro-b6d4,[WPA2-PSK-TKIP+CCMP][ESS],2014-01-27 22:55:17,11,-72,-34.59303306,-58.44190149,27.5,4,WIFI
38:6b:bb:67:cf:87,Fibertel WiFi555,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,11,-79,-34.59303306,-58.44190149,27.5,4,WIFI
00:14:d1:ca:b9:24,Oficinas2,[WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:55:17,2,-82,-34.59303306,-58.44190149,27.5,4,WIFI
00:24:8c:75:b9:36,Fibertel WiFi404,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,6,-85,-34.59303306,-58.44190149,27.5,4,WIFI
00:0e:e8:d6:0f:bc,Noganet,[WPA2-PSK-TKIP][ESS],2014-01-27 22:55:17,11,-85,-34.59303306,-58.44190149,27.5,4,WIFI
00:21:00:37:1c:12,LUGRIN,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,11,-86,-34.59303306,-58.44190149,27.5,4,WIFI
20:aa:4b:ae:bb:7e,Ariel,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:17,11,-86,-34.59303306,-58.44190149,27.5,4,WIFI
94:cc:b9:f9:0f:6c,Fibertel WiFi851,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,1,-90,-34.59303306,-58.44190149,27.5,4,WIFI
64:70:02:74:28:10,IneNico,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2014-01-27 22:55:17,6,-91,-34.59303306,-58.44190149,27.5,4,WIFI
20:cf:30:04:83:10,fef306,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,1,-91,-34.59303306,-58.44190149,27.5,4,WIFI
00:16:b6:a0:d5:08,AdvancedITech,[WPA-PSK-TKIP][ESS],2014-01-27 22:55:17,6,-92,-34.59303306,-58.44190149,27.5,4,WIFI
00:25:9c:3a:9f:04,pilitomi,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],2014-01-27 22:55:17,6,-92,-34.59303306,-58.44190149,27.5,4,WIFI
38:60:77:d7:ee:b9,IMPRENTAARCOPRINT,[WEP][ESS],2014-01-27 22:55:17,11,-73,-34.59303306,-58.44190149,27.5,4,WIFI
40:4a:03:80:9a:fe,DEPIMAX,[WEP][ESS],2014-01-27 22:55:17,1,-80,-34.59303306,-58.44190149,27.5,4,WIFI
00:24:8c:79:d6:12,Maria del Carmen,[WEP][ESS],2014-01-27 22:55:17,6,-85,-34.59303306,-58.44190149,27.5,4,WIFI
90:f6:52:f0:56:24,AP-E-Atacama,[WEP][ESS],2014-01-27 22:55:17,7,-92,-34.59303306,-58.44190149,27.5,4,WIFI
00:14:d1:e2:36:04,TRENDnet652,[WPS][ESS],2014-01-27 22:55:17,6,-80,-34.59303306,-58.44190149,27.5,4,WIFI
